route_id,service_id,trip_id,trip_headsign,direction_id,wheelchair_accessible,block_id,shape_id
2,M04_26_01_ogt,M04_26_01_ogt_203_3018_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3018,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3019_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3019,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3020_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3020,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3021_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3021,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3022_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3022,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3023_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3023,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3024_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3024,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3025_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3025,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3026_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3026,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3027_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3027,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3028_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3028,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3029_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3029,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3030_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3030,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3031_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3031,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3032_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3032,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3033_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3033,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3034_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3034,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3035_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3035,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3036_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3036,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3037_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3037,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3038_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3038,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3039_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3039,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3040_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3040,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3041_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3041,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3042_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3042,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3043_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3043,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3044_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3044,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3045_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3045,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3046_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3046,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3047_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3047,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3048_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3048,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3049_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3049,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3050_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3050,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_203_3051_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_203_3051,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_203_3052_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_203_3052,L2V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3001_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3001,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3002_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3002,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3003_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3003,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3004_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3004,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3005_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3005,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3006_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3006,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3007_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3007,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3008_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3008,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3009_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3009,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3010_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3010,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3011_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3011,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3012_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3012,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3013_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3013,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3014_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3014,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3015_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3015,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3016_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3016,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3017_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3017,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3018_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3018,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3019_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3019,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3020_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3020,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3021_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3021,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3022_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3022,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3023_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3023,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3024_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3024,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3025_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3025,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3026_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3026,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3027_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3027,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3028_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3028,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3029_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3029,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3030_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3030,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3031_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3031,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3032_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3032,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3033_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3033,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3034_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3034,L1V2
1,M04_26_01_ogt,M04_26_01_ogt_109_3035_L1V1,Atarazanas,1,,M04_26_01_ogt_109_3035,L1V1
1,M04_26_01_ogt,M04_26_01_ogt_109_3036_L1V2,Andalucía Tech,0,,M04_26_01_ogt_109_3036,L1V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3001_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3001,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3002_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3002,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3003_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3003,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3004_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3004,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3005_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3005,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3006_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3006,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3007_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3007,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3008_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3008,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3009_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3009,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3010_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3010,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3011_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3011,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3012_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3012,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3013_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3013,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3014_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3014,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3015_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3015,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3016_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3016,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3017_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3017,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3018_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3018,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3019_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3019,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3020_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3020,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3021_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3021,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3022_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3022,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3023_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3023,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3024_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3024,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3025_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3025,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3026_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3026,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3027_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3027,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3028_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3028,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3029_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3029,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3030_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3030,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3031_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3031,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3032_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3032,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3033_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3033,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3034_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3034,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3035_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3035,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3036_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3036,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3037_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3037,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3038_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3038,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3039_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3039,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3040_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3040,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3041_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3041,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3042_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3042,L2V2
2,M04_26_01_ogt,M04_26_01_ogt_208_3043_L2V1,Guadalmedina - L2,1,,M04_26_01_ogt_208_3043,L2V1
2,M04_26_01_ogt,M04_26_01_ogt_208_3044_L2V2,Palacio de los Deportes,0,,M04_26_01_ogt_208_3044,L2V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3001_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3001,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3002_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3002,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3003_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3003,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3004_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3004,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3005_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3005,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3006_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3006,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3007_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3007,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3008_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3008,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3009_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3009,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3010_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3010,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3011_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3011,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3012_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3012,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3013_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3013,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3014_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3014,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3015_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3015,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3016_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3016,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3017_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3017,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3018_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3018,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3019_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3019,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3020_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3020,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3021_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3021,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3022_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3022,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3023_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3023,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3024_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3024,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3025_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3025,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3026_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3026,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3027_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3027,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3028_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3028,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3029_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3029,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3030_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3030,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3031_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3031,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3032_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3032,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3033_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3033,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3034_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3034,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3035_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3035,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3036_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3036,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3037_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3037,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3038_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3038,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3039_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3039,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_105_3040_L1V2,Andalucía Tech,0,,M84_26_01_ogt_105_3040,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_105_3041_L1V1,Atarazanas,1,,M84_26_01_ogt_105_3041,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_109_3001_L1V1,Atarazanas,1,,M84_26_01_ogt_109_3001,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_109_3002_L1V2,Andalucía Tech,0,,M84_26_01_ogt_109_3002,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_109_3003_L1V1,Atarazanas,1,,M84_26_01_ogt_109_3003,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_109_3004_L1V2,Andalucía Tech,0,,M84_26_01_ogt_109_3004,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_109_3005_L1V1,Atarazanas,1,,M84_26_01_ogt_109_3005,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_109_3006_L1V2,Andalucía Tech,0,,M84_26_01_ogt_109_3006,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_109_3007_L1V1,Atarazanas,1,,M84_26_01_ogt_109_3007,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_109_3008_L1V2,Andalucía Tech,0,,M84_26_01_ogt_109_3008,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_109_3009_L1V1,Atarazanas,1,,M84_26_01_ogt_109_3009,L1V1
